"Zeitstempel","Wie alt bist du? / How old are you?","  Welches Geschlecht haben Sie? / What is your gender?  ","  Welchen höchsten Bildungsabschluss haben Sie? / What is your highest level of education?  ","  Waren Sie vor dieser Umfrage über KI-Avatare informiert, die Personen nachahmen? / Before this survey, were you aware of AI avatars replicating individuals?  ","  Waren Sie vor dieser Umfrage über KI-Avatare informiert, die Personen verstorbene nachahmen? / Before this survey, were you aware of AI avatars replicating deceased individuals?  ","  Haben Sie bereits mit KI-Systemen oder Chatbots interagiert? / Have you ever interacted with AI/chatbots?  ","  Sollten Menschen KI-Avatare von sich selbst zu Lebzeiten erstellen dürfen?
/ Should people be allowed to create AI avatars of themselves while alive?  ","  Glauben Sie, dass ein KI-Avatar die Persönlichkeit und Werte einer Person genau darstellen kann?
/ Do you believe an AI avatar can accurately represent a person’s personality and values?  ","  Was sollte ein KI-Avatar haben, um eine Person realistisch darzustellen? (Mehrfachauswahl)
/ Which features should an AI avatar have to be considered an accurate representation?  (Multiple Choice)","  Wie wohl fühlen Sie sich mit der Idee, einen KI-Avatar eines Menschen zu erstellen?
/ How comfortable do you feel about creating an AI avatar of a person?  ","  Wie wohl fühlen Sie sich mit der Idee, einen KI-Avatar eines verstorbenen Menschen zu erstellen?
/ How comfortable do you feel about creating an AI avatar of a deceased loved one?  ","  Welche Emotionen empfinden Sie beim Gedanken an die Interaktion mit einem solchen Avatar? (Mehrfachauswahl)
/ What emotions would you feel when interacting with such an avatar?  (Multiple Choice)","Wie wichtig ist die Zustimmung der Person vor Erstellung oder Nutzung eines KI-Avatars? /  How important is the person’s consent before creating or using an AI avatar? ","  Wie wichtig ist es, vor der Erstellung eines KI-Avatars die Zustimmung einer verstorbenen Person oder deren Familie einzuholen?
/ How important is obtaining consent of the 
deceased person or their family before creating an AI avatar?  ","  Was sollte passieren, wenn die Familie der verstorbenen Person die Erstellung oder Nutzung ablehnt?
/ What should happen if the family of the deceased does not approve of the AI being created?  ","  Trägt die Erstellung von KI-Avataren zur Erinnerung an Verstorbenen bei oder schmälert sie diese?
/ Does creating AI avatars contribute to or detract from the memory of the deceased?  ","  Wie würde der Kontakt mit einem  KI-Avatar einer verstorbenen Person Ihren Trauerprozess beeinflussen?
/ How might interacting with an AI avatar of a deceased person affect your grieving process?  ","  Welche Richtlinien sollten für KI-Avatare gelten? (Mehrfachauswahl)
/ What guidelines should exist for AI avatars?  (Multiple Choice)","  Wie stellen Sie sich die Zukunft digitaler Vermächtnisse mit KI vor?
/ How do you envision the future of digital legacies with AI?  ","  Würden Sie ein KI-Abbild Ihrer selbst nutzen, um in Zukunft zu kommunizieren?
/ Would you be open to using an AI avatar of yourself for future communication?  ","  Würden Sie ein KI-Abbild Ihrer selbst als Vermächtnis nutzen? 
/ Would you be open to using an AI avatar of yourself as a legacy?  ","Weiterer input? // Any other thoughts?"
"2025/09/01 12:37:21 AM OESZ","50-64","Weiblich / Female","Bachelor","Ja/Yes","Nein/No","Ja/Yes","Nein / No","Nein, auf keinen Fall / No, definitely not","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs;Intuition, spirituality, empathy, wisdom ","1","1","Annoyance ","5","5","Avatar darf nicht erstellt werden / Should not be created","Schmälert / Detracts","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Unsicher / Unsure","Nein / No","Nein / No","Creating an avatar of a person for legacy interrupts the grieving process and stagnates life. It represents living in the past, not the present or for the future. It robs a person of healing through and with others who are present. As a legacy product, my question is- how does it impact the thought of allowing someone to rest in peace? 
A very thought provoking and relevant survey, thank you. "
"2025/09/01 6:01:24 AM OESZ","18-24","Männlich / Male","Sonstiges/other","Ja/Yes","Ja/Yes","Ja/Yes","Nein / No","Eher nein / Rather no","Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs;Seele","2","1","Unbehagen / Discomfort;Traurigkeit / Sadness","5","5","Avatar darf nicht erstellt werden / Should not be created","Schmälert / Detracts","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Unsicher / Unsure","Nein / No","Nein / No","Nope"
"2025/09/01 7:30:55 AM OESZ","25-34","Männlich / Male","Mittlere Reife / High school","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Eher nein / Rather no","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs;Intelligence","3","1","Unbehagen / Discomfort;Traurigkeit / Sadness","1","1","Unsicher / Unsure","Unsicher / Unsure","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Vielleicht / Maybe","Vielleicht / Maybe","The use of AI chatbots for emotional support is increasing - any attempt to heavily regulate or ban the use of avatars would likely push the product into an unregulated (black) market.
I believe the current majority of people who benefit from and seek emotional support from AI chatbots are people who are either physically or mentally disabled, generally both.
There has recently been a large increase in AI Avatars as romantic partners. People who struggle to find or maintain a romantic relationship in the real world are finding comfort in a digital alternative. 
I believe the ""digital legacy"" will have a similar audience.
Where people who have mental disabilities will be the largest continual users of the service and people who are mentally sound may find comfort in short term or a single use.
To keep it short 
Using someones emotional distress to turn a profit is abhorrent but there are many theraeutic applications for the digital legacy that will beneficial. I have major concerns regarding security and privacy. Scam calls from dead loved ones will likely be a big issue in the future.
Hope this helps - Ant 🐜🇦🇺"
"2025/09/01 7:54:02 AM OESZ","18-24","Weiblich / Female","Abitur / College entrance qualification","Ja/Yes","Ja/Yes","Ja/Yes","Nein / No","Eher nein / Rather no","Stimme / Voice;Gesicht / Appearance;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","2","1","Verwirrung / Confusion;Unbehagen / Discomfort;Traurigkeit / Sadness","5","5","Avatar darf nicht erstellt werden / Should not be created","Trägt bei / Contributes","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation","Begrenzte Nutzung / Limited use","Nein / No","Nein / No",""
"2025/09/01 8:15:24 AM OESZ","35-49","Weiblich / Female","Master","Ja/Yes","Ja/Yes","Ja/Yes","Unsicher / Unsure","Eher nein / Rather no","Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","3","3","Unbehagen / Discomfort;Freude / Joy","4","4","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Schmälert / Detracts","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection","Unsicher / Unsure","Nein / No","Nein / No",""
"2025/09/01 8:35:10 AM OESZ","65+","Weiblich / Female","Abitur / College entrance qualification","Ja/Yes","Nein/No","Nein/No","Nein / No","Eher nein / Rather no","Stimme / Voice;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","1","1","Unbehagen / Discomfort","5","5","Avatar darf nicht erstellt werden / Should not be created","Unsicher / Unsure","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Es wird ein vorübergehender Trend / It will be a temporary trend","Nein / No","Nein / No",""
"2025/09/01 8:39:05 AM OESZ","25-34","Weiblich / Female","Mittlere Reife / High school","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Eher ja / Rather yes","Stimme / Voice;Gesicht / Appearance;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","4","3","Nostalgie / Nostalgia;Verwirrung / Confusion;Unbehagen / Discomfort","5","4","Avatar darf nicht erstellt werden / Should not be created","Unsicher / Unsure","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Vielleicht / Maybe","Vielleicht / Maybe",""
"2025/09/01 9:15:15 AM OESZ","25-34","Weiblich / Female","Mittlere Reife / High school","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Eher ja / Rather yes","Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","3","3","Nostalgie / Nostalgia","5","5","Avatar darf nicht genutzt werden / Should not be used","Trägt bei / Contributes","Neutral","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Vielleicht / Maybe","Vielleicht / Maybe",""
"2025/09/01 9:19:23 AM OESZ","25-34","Männlich / Male","Mittlere Reife / High school","Ja/Yes","Nein/No","Ja/Yes","Ja /Yes","Eher nein / Rather no","Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","3","2","Unbehagen / Discomfort","5","5","Avatar darf nicht erstellt werden / Should not be created","Unsicher / Unsure","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Begrenzte Nutzung / Limited use","Vielleicht / Maybe","Nein / No",""
"2025/09/01 9:53:48 AM OESZ","25-34","Männlich / Male","Bachelor","Ja/Yes","Ja/Yes","Ja/Yes","Nein / No","Eher nein / Rather no","","1","1","Unbehagen / Discomfort","5","5","Avatar darf nicht erstellt werden / Should not be created","Schmälert / Detracts","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Begrenzte Nutzung / Limited use","Nein / No","Nein / No",""
"2025/09/01 12:16:41 PM OESZ","18-24","Weiblich / Female","Abitur / College entrance qualification","Ja/Yes","Ja/Yes","Ja/Yes","Unsicher / Unsure","Nein, auf keinen Fall / No, definitely not","Stimme / Voice;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","1","1","Unbehagen / Discomfort;Traurigkeit / Sadness","5","5","Avatar darf nicht erstellt werden / Should not be created","Schmälert / Detracts","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Es wird ein vorübergehender Trend / It will be a temporary trend","Nein / No","Nein / No",""
"2025/09/01 12:53:18 PM OESZ","35-49","Weiblich / Female","Bachelor","Nein/No","Nein/No","Ja/Yes","Ja /Yes","Eher ja / Rather yes","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","2","5","Nostalgie / Nostalgia;Verwirrung / Confusion","5","5","Avatar darf nicht genutzt werden / Should not be used","Trägt bei / Contributes","Positiv / Positive","Zustimmung der Familie / Consent of family","Verstärkte Nutzung / Increased use","Ja / Yes","Ja / Yes",""
"2025/09/01 2:07:10 PM OESZ","18-24","Weiblich / Female","Bachelor","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Eher nein / Rather no","Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","5","1","Freude / Joy","5","5","Avatar darf nicht erstellt werden / Should not be created","Unsicher / Unsure","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection","Verstärkte Nutzung / Increased use","Ja / Yes","Vielleicht / Maybe",""
"2025/09/01 2:21:29 PM OESZ","35-49","Männlich / Male","Master","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Eher nein / Rather no","Stimme / Voice;Gesicht / Appearance;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","4","4","Freude / Joy","5","5","Avatar darf nicht erstellt werden / Should not be created","Trägt bei / Contributes","Neutral","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection","Es wird ein vorübergehender Trend / It will be a temporary trend","Ja / Yes","Ja / Yes","Aiaiaiaiai 😁"
"2025/09/01 2:25:12 PM OESZ","25-34","Divers / Non-binary / Other","Kein Abschluss / No degree","Ja/Yes","Ja/Yes","Ja/Yes","Nein / No","Nein, auf keinen Fall / No, definitely not","Stimme / Voice;Gesicht / Appearance;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","1","1","Verwirrung / Confusion;Unbehagen / Discomfort","5","5","Avatar darf nicht genutzt werden / Should not be used","Schmälert / Detracts","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Unsicher / Unsure","Nein / No","Nein / No",""
"2025/09/01 2:46:16 PM OESZ","35-49","Männlich / Male","Abitur / College entrance qualification","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Unsicher / Unsure","Stimme / Voice;Gesicht / Appearance;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","3","2","Trost / Comfort;Nostalgie / Nostalgia;Freude / Joy;Traurigkeit / Sadness","5","3","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Trägt bei / Contributes","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Unsicher / Unsure","Vielleicht / Maybe","Vielleicht / Maybe",""
"2025/09/01 3:25:01 PM OESZ","25-34","Männlich / Male","Bachelor","Ja/Yes","Nein/No","Ja/Yes","Ja /Yes","Eher ja / Rather yes","Stimme / Voice;Persönlichkeit / Personality;Erinnerungen / Memories","2","1","Verwirrung / Confusion;Unbehagen / Discomfort","5","5","Avatar darf nicht erstellt werden / Should not be created","Unsicher / Unsure","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Keine kommerzielle Nutzung / No commercial use","Unsicher / Unsure","Nein / No","Nein / No"," Welche Richtlinien sollten für KI-Avatare gelten? (Mehrfachauswahl) : Falls es sich hierbei um eine Rolle/Charakter handelt, ist es wiederum für kommerzielle Nutzung bedienbar. (Influencer KI Avatar oder Schauspieler der die Rolle eines Charakters spielt.)"
"2025/09/01 3:30:04 PM OESZ","25-34","Männlich / Male","Master","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Unsicher / Unsure","Stimme / Voice;Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","4","3","Nostalgie / Nostalgia","5","5","Avatar darf nicht erstellt werden / Should not be created","Trägt bei / Contributes","Unsicher / Unsure","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Ja / Yes","Ja / Yes",""
"2025/09/01 3:32:31 PM OESZ","65+","Männlich / Male","Mittlere Reife / High school","Nein/No","Nein/No","Nein/No","Nein / No","Nein, auf keinen Fall / No, definitely not","Stimme / Voice;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs","1","1","Unbehagen / Discomfort;Traurigkeit / Sadness","5","4","Avatar darf nicht genutzt werden / Should not be used","Unsicher / Unsure","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Es wird ein vorübergehender Trend / It will be a temporary trend","Nein / No","Nein / No",""
"2025/09/01 4:11:16 PM OESZ","50-64","Männlich / Male","Master","Ja/Yes","Ja/Yes","Ja/Yes","Ja /Yes","Eher nein / Rather no","Schreibstil / Writing style;Persönlichkeit / Personality;Erinnerungen / Memories;Werte & Überzeugungen / Values & beliefs;must able to mimic the functions of the prefrontal cortex—that is, to behave in the same way given the context of the interaction.","5","1","Verwirrung / Confusion;Unbehagen / Discomfort","5","5","Avatar darf nicht erstellt werden / Should not be created","Schmälert / Detracts","Negativ / Negative","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Unsicher / Unsure","Ja / Yes","Nein / No","Persons interacting with an avatar of someone else should (a) know it is an avatar and (b) understand the ""mandate"" the humans gave to the avatar. "
"2025/09/01 4:44:42 PM OESZ","65+","Weiblich / Female","Master","Ja/Yes","Ja/Yes","Nein/No","Ja /Yes","Unsicher / Unsure","Stimme / Voice;Gesicht / Appearance;Persönlichkeit / Personality;Werte & Überzeugungen / Values & beliefs","3","3","Trost / Comfort;Nostalgie / Nostalgia","5","5","Avatar darf genutzt werden, wenn vorher Zustimmung der Person vorlag / Can be used if prior consent exists","Unsicher / Unsure","Neutral","Zustimmung der Person / Consent of the individual;Datenschutz / Data protection;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Nein / No","Nein / No",""
"2025/09/01 4:50:36 PM OESZ","25-34","Männlich / Male","Abitur / College entrance qualification","Ja/Yes","Ja/Yes","Ja/Yes","Nein / No","Nein, auf keinen Fall / No, definitely not","Schreibstil / Writing style;Persönlichkeit / Personality;Werte & Überzeugungen / Values & beliefs","1","1","Unbehagen / Discomfort","5","5","Avatar darf nicht erstellt werden / Should not be created","Schmälert / Detracts","Negativ / Negative","Zustimmung der Person / Consent of the individual;Zustimmung der Familie / Consent of family;Datenschutz / Data protection;Zeitliche Begrenzung / Time limitation;Keine kommerzielle Nutzung / No commercial use","Verstärkte Nutzung / Increased use","Nein / No","Nein / No",""
