context_text,reply_text,language,source,gap_lines,gap_seconds
"Depends on what weapon you get.
If you have a good starting weapon, you want to upgrade and go into it.",No.,,4_9hours.mp4,1,3
"I'm intelligence, not faith.
I have no faith.","Oh no, green ping.",,4_9hours.mp4,1,4
I have faith in humanity.,"Ah, that's...",,4_9hours.mp4,1,2
"Oh, boss.","Ah, that's not Gilly.",,4_9hours.mp4,1,5
I'm coming.,"Yeah, me too.",,4_9hours.mp4,1,2
No.,I'm down.,,4_9hours.mp4,1,2
"Damn, this build.
Oh, good.
I cooked with my build.",Hit me.,,4_9hours.mp4,1,5
"Bang, bang.
Damn, so much damage.
I'm never gonna die ever again.
Not even in real life.
Stonesword key.",Let's go.,,4_9hours.mp4,1,2
"Okay.
There was no boss for some reason.","Ah, shit.",,4_9hours.mp4,1,1
"I think it's upstairs.
I think it's a small one upstairs.
And we can get the...",Should I take it?,,4_9hours.mp4,1,4
"The map.
Get the map.
I'm gonna get the map.
I keep forgetting that there's staff.
Staff is so good.
My favorite staff, let's go.",My favorite staff.,,4_9hours.mp4,1,4
"Okay.
Thank you.",What?,,4_9hours.mp4,1,6
"What?
I doubt it.",Please help.,,4_9hours.mp4,1,1
"I'm up top.
I'm down.","No, I'm down.",,4_9hours.mp4,1,2
It wasn't on purpose.,"Yeah, yeah, yeah.",,4_9hours.mp4,1,3
"Yeah, yeah, yeah.","Okay, let's go to one church.",,4_9hours.mp4,1,1
"Okay, let's...","Oh, you took it.",,4_9hours.mp4,1,1
"All the heavy items as well.
He just yoinks them.
It's like you don't even use them, bro.",Yeah.,,4_9hours.mp4,1,2
"You would know how it works.
Oh, shiny.
Oh, that's perfect.",I take it.,,4_9hours.mp4,1,1
"I already had a stone sword key in my inventory, so I auto-picked it up when I ran over it.
Did not grab it.
Oh, yeah.","Oh, yeah.",,4_9hours.mp4,1,1
Heard that one before.,Mm-hmm.,,4_9hours.mp4,1,1
"Heard that one before.
At least I know how to lock on to enemies, you fucking cunt.
I've learned that we can ignore- Oh, very low.","Very low, Tom.",,4_9hours.mp4,1,2
"I'm fucking engaged!
Yeah.
That's a low blow, what the fuck?",Should we do the FHA first?,,4_9hours.mp4,1,5
"Fuck you!
I'm not doing anything with you.
Wait....
Wait...
Wait...",Mmm?!,,4_9hours.mp4,1,3
"What the fuck is happening?
Com'on, ahhhhhhh..
Bro, I died?!
How would I die?
Why would I die?
Okay, let's go church.
20k runes? Okay, yeah.
Yeah, 20k.
Gimme, gimme, gimme.
I didn't even look at whatever the other thing was.","Church, and then go castle.",,4_9hours.mp4,1,2
"I don't care.
And on the way to the castle, go church.",Exactly.,,4_9hours.mp4,1,3
Or they will be stupid not to.,"Bamboozled, bamboozled.",,4_9hours.mp4,1,3
Pah!,"Church, church, church!",,4_9hours.mp4,1,10
"I would like to visit a trader.
There's a trader to our right, I'm gonna buy a smithing stone number uno.
I'm gonna kill this...",I'm gonna go and get the bow that's up here.,,4_9hours.mp4,1,2
"And we can still do another Everger.
By the way.
Mhm.
By the joy.
Okay, Gilly, if you see the trader, tell me please.
Yep.
Bro, I do some good damage with this weapon.
And I'm quick.
And I'm level six.",Yeah!,,4_9hours.mp4,1,2
Six million.,"This is a good run, actually.",,4_9hours.mp4,1,2
"It is.
Six million hundred.",Gonna check out the castle.,,4_9hours.mp4,1,1
Where's the stupid trader?,There's a trader right here.,,4_9hours.mp4,1,1
"Okay, I should go follow the trader.
Yes, I should have just come with you.",But he's on the other side.,,4_9hours.mp4,1,3
Of course.,Of the castle?,,4_9hours.mp4,1,1
We should start with killing the boss in the basement.,Okay.,,4_9hours.mp4,1,6
"The basement boss.
The BB.
The BBW.
Am I doing bloodlust?",I'm gonna kill this. I think so.,,4_9hours.mp4,1,3
"I am. That's so good.
I'm good.
Hello, sir. I would like to upgrade my weapon list.
Okay.
Okay, holy fuck.
Motherfucker.
I don't need any of this.",One boss.,,4_9hours.mp4,1,2
I'm in the basement.,I am with you.,,4_9hours.mp4,1,2
"Coming.
Crab.
I killed Mr. Crabs.",I can't see the boss anymore.,,4_9hours.mp4,1,19
"Oh, he's inside.",The tombstone is not that good.,,4_9hours.mp4,1,3
Not in here.,No.,,4_9hours.mp4,1,2
"Oh, legendary.
No.
It's literally the best stuff in the game. Let's fucking go. I finally got my legendary.
This is the run.",Everything is shit for me.,,4_9hours.mp4,1,4
"Improved incantations? Do you want that, Tom?
No, I have sorceries. Don't forget your talismans.",Coming.,,4_9hours.mp4,1,5
"Raises magic attack but lowers damage negation.
If he restores upon defeating enemies, I think I'm gonna take magic attack.
And what's in here?
Wait, where is it?",Incantations.,,4_9hours.mp4,1,3
"The door behind the boss.
And then up?
Then up, yeah. Up, up, up.
Up, up.
Up, up.",Nice.,,4_9hours.mp4,1,11
"This too is very good. I need it in my inventory.
Oh.
Yeah, I need that.
Continuous HP recovery, if anyone needs it.","Yeah, I already have that.",,4_9hours.mp4,1,2
"Wait, there's boss loot over here.","Yeah, we killed them.",,4_9hours.mp4,1,2
"Boss loot.
Blackknife, come on.
You broke spellcasting speed. I can't take this at all.
Bonk.","Bonk, bonk, bonk.",,4_9hours.mp4,1,3
"Is the castle still finished or yes?
Kind of.
Kind of.",You take that.,,4_9hours.mp4,1,3
Are you going upstairs? You can kill the upstairs boss too.,Zone is coming. Zone is coming.,,4_9hours.mp4,1,4
"I thought it stopped. Never mind.
I thought it would stop, but it's not.
Okay, let's...","Oh, my god. Run, bitch.",,4_9hours.mp4,1,6
"Wait, did I not get the second church?
I'm such a retard. What the fuck?
What have you done?
I don't know.
Looks like I have to do a little detour.
Detour?",I don't know if I will make it.,,4_9hours.mp4,1,4
"Yeah, neither am I.
Well...
You shouldn't have done this. You fucked the perfect run.",I'm done. I'm out. I'm out. I'm out. I'm out.,,4_9hours.mp4,1,3
"I'm down.
Oh, I had two flasks? I'm an idiot.
What in the stupid...","Well, I have no more flasks and there's no grace.",,4_9hours.mp4,1,2
"I'm calling.
I guess you guys fucked the perfect run.
You got a legendary. You got a carry.
Legendary? I can't use the legendary until I'm level 10, though.
Annihilate.
And I fucked it, too, because I didn't get the church.
So we all fucked it.
Oh, fuck.","Well, I have like 10 HP.",,4_9hours.mp4,1,1
Everyone is fucking lying out here.,I just got one back. I don't know how.,,4_9hours.mp4,1,3
Oh my fucking god.,It started so well.,,4_9hours.mp4,1,5
"Quickly.
Yeah, kill him, my hero.
Run, run, run, run, run.
This is stupid.
oh i should have just healed why do i keep doing this i just don't heal",well is it gonna be fucking um ass face,,4_9hours.mp4,1,7
"if it was worm face there were more reds if it were worm face there would have been
more reds it's worm face",i guess it's worm face you stupid cunt,,4_9hours.mp4,1,3
give me the bloops bloops i need the bloops bloops,oh where's the fucking worm face here he's eating you now are there any bloopsie boops,,4_9hours.mp4,1,11
"i didn't realize you were dying did you didn't you i am under the water
but i got anti-poison bulloozy are you kidding me what am i supposed to do with this garbage
oh i got death by dead",i'm gonna get killed by a crab i can i can feel it in my bones,,4_9hours.mp4,1,5
"why was there fucking anti-poison oh my god
i think this is my least favorite
did any of you drop poison blobs yep",yep i had to clear my inventory can you get goomba,,4_9hours.mp4,1,3
"you should always just eat the boopsies when you get them
they last forever yeah",oh my god you stupid ass bitch rats leave me the fuck alone that's such fucking bullshit,,4_9hours.mp4,1,3
"oh crap crab rat skeleton king
as soon as you go for me they all come",almost,,4_9hours.mp4,1,7
"i'm locked on
i can't hit you for this fucking crap what the fuck we cannot hit you",i'm bugged,,4_9hours.mp4,1,7
i'm getting fucked by the crab,can you can you try get dead dead couldn't even finish the fucking sentence,,4_9hours.mp4,1,6
i'm so useless in this room,um like i can't get close to you i wasn't and then i was i cannot get picked up mom,,4_9hours.mp4,1,2
uh no they're all gonna come for me go for luigi yeah he cannot hit me i don't know why but he,"cannot hit me, he's on a wife beater, i'm gonna crawl with the",,4_9hours.mp4,1,10
that's right yeah yeah yeah yeah yeah oh no oh no no no no oh no oh,do you have health left ,,4_9hours.mp4,1,13
"what the fuck bro
there's too many enemies
usually one fish just stands around doing fucking nothing but then all of a sudden he
fucking gets the aoe attack across the map like what the fuck",yeah,,4_9hours.mp4,1,7
"practice run stupid man i had a legend there we they won they why did i get the fucking church
the legendary weapons are so good when you get them we want to run yeah i had one
but my relic build is very good i'm dealing so much damage in the beginning",i only once had a actually really good bow and that's it. It was the earth tree bow,,4_9hours.mp4,1,5
bro you had fucking blood rivers of blood the day before yesterday that's literally,yeah but that's not a bow i'm talking about a bow,,4_9hours.mp4,1,5
"of blood an s scaling in dexterity dexterity
day
iron eyes high arcane means that you get a blood loss of easier
blood loss period day ah church directly below us my favorite day","Turn around, beach.",,4_9hours.mp4,1,11
"Castle's fine too.
Let's get the consul.
And then go church.
If I can't find a fucking entrance...
What the fuck?",What the...,,4_9hours.mp4,1,2
"Bro...
I hate the small guys.
They just hit you for half an hour.
Bap, bap, bap, bap, bap.",I'm trying to come... ,,4_9hours.mp4,1,3
Shoot me!,I cannot target you!,,4_9hours.mp4,1,2
You can switch target though.,"I tried, but I just switched between...",,4_9hours.mp4,1,2
"Let me get my runes.
Yes! Yes! Lay!
You guys went straight in there.
I didn't go around in there.
How are you listening to yourself?
Are you mentally stunted?
I'm responding, maybe.
What's it to you?
It's a personal matter.
Hmm.",Let's go.,,4_9hours.mp4,1,25
"Is there a smithing stone?
Do you guys need a smithing stone?","Sure, I'll take it for my starting weapon.",,4_9hours.mp4,1,3
I dropped one smithing stone.,Thank you.,,4_9hours.mp4,1,2
Merchant ,Merchant ,,4_9hours.mp4,1,2
"Poison produces emissive poison. Thank you.
That's a great passive.
We get so many locations on the map.
I'm gonna church now and kill the two scarabs.
Go green?",Yep.,,4_9hours.mp4,1,1
"Green is not a creative colour.
Green is the best colour.
Hey, should I swap to the misericordial?
That should count as a dagger.
Cause it's a fucking dagger.",A dagger counts as dagger?,,4_9hours.mp4,1,3
"Can I check my relics in game?
Poison stuff here.",I've never been so surprised.,,4_9hours.mp4,1,1
Poison balls.,We need lightning for the boss.,,4_9hours.mp4,1,1
"It's anti-poison.
Anti-poison?","Okay, go for the castle, right?",,4_9hours.mp4,1,1
"Go green again?
Or blue.
Yeah, blue.
So this one on the way.
Fort on the way and then go castle.
Okay, yep.
Taking the long way, loony.
Long way around.","Okay Tom, okay.",,4_9hours.mp4,1,20
"No, I must one hit them.
Bro.
Use a lot of FP.
If you guys got anything that restores FP, please.
Please.
Please give it to me.",Ah.,,4_9hours.mp4,1,7
"Collect starlight shards, please.
I need all the starlight shards I can get.
There's a bow here.
Misbegotten short bow.","Uh, where are you?",,4_9hours.mp4,1,2
"Down the bottom, where that pot was.",Coming.,,4_9hours.mp4,1,7
"Up on the platform.
I'll take that.",Fucking sun.,,4_9hours.mp4,1,10
"Bro, I'm so strong.","Okay, now go blue pin.",,4_9hours.mp4,1,4
"Oh, oh, oh, oh.
Kill this dude.
Easy.
Look at the damage.
Fuck you, so much damage, bro.
Oh, taking damage boost, damage negation.
All I need are fucking starlight shards.
If you get your hands on any of them.
Reduce skill FP cost.","Castle is fucked, that's the giant's in there.",,4_9hours.mp4,1,5
"Reduce skill FP cost.
Tom.
Yeah, but only for skills.
Oh, right, right, right.
And we can still do the basement boasts in the castle if it's not a bell bearing nine.","Yeah, let's check.",,4_9hours.mp4,1,8
"I got, like, the best.
My relics, bro, I cannot fucking speak.","Oh, my God.",,4_9hours.mp4,1,27
Don't bother with.,"Yeah, I did.",,4_9hours.mp4,1,2
Gotcha.,One more.,,4_9hours.mp4,1,1
I got it.,Just run away.,,4_9hours.mp4,1,1
"I'm running.
Oh, my God.
Oh, my God.
Go.","Where's the fucking river, though?",,4_9hours.mp4,1,1
"Crafted sign.
Hey, don't we?
I'm doing it.
And he's dead.
Yeah.
Come on, come on. Yes!","Pulley Bow, let's go!",,4_9hours.mp4,1,2
That's actually a really good weapon.,Fucking finally.,,4_9hours.mp4,1,2
"Why is my legendary rise from defeat
a single time? Fuck this shit!
I want weapons!
I will take it of course.",Fucking finally.,,4_9hours.mp4,1,2
Do I need to eat it? No.,I'm going up.,,4_9hours.mp4,1,2
"Pappity, pappity.
Get me some...",Schmappity.,,4_9hours.mp4,1,2
"Puppity.
Puppity.
Puppity.
I will have this please.",Defeating enemies,,4_9hours.mp4,1,2
"I need that.
Let's get the fuck out of here.",Should we go to,,4_9hours.mp4,1,2
"It's right outside, I don't think.
Maybe.
No, we can't make that.
It's right next to
the gravestone.
I'm gonna risk it to biscuit.
Is there a zombie?
Oh my god.
Fuck off, cunt.
This fucking blue
hot thing.",Church is really not far.,,4_9hours.mp4,1,2
"I'm almost there, yeah.
But I'm so
far behind you guys.
Oh, you shouldn't have picked
a fight with the giant
fucks.
Keep fucking throwing me.
I'm a pacifist.
I'm just a baby.",I've never picked a fight.,,4_9hours.mp4,1,2
"Yeah.
It's for pacifying.
The final pacification.
A deterrent.",I kinda wanna reach that place.,,4_9hours.mp4,1,10
"I got a warming scone.
A warming scone?",I love warming scones.,,4_9hours.mp4,1,2
"I mean, I wouldn't be at work
at this area
without a warming scone.",Warming scone.,,4_9hours.mp4,1,4
Scone?,Bullshit.,,4_9hours.mp4,1,2
"Right after the boss fight.
I have a jail.",Right there.,,4_9hours.mp4,1,2
"Hello, I have a warming welcome for you.",Warm welcome?,,4_9hours.mp4,1,6
"A warming stoned welcome.
I'mma unleash my full power now.",Hello.,,4_9hours.mp4,1,16
Is it worth it?,No.,,4_9hours.mp4,1,2
"It's a gaping wagon.
Damn.
What the fuck does that mean, Tom?
Like I'm gonna go down or something?
Watch the enemy HP.
Watch the enemy HP.
Oh.
Dude is going down.",The boss is really easy.,,4_9hours.mp4,1,2
"He doesn't do much.
When I'm getting puked on.
Fuck.
Get him.
Get him.
He used his PP on me.
I'm locked onto you. I can't get you though.
He's dead.",There you go.,,4_9hours.mp4,1,2
They're kind of really strong.,But I'm not level 7.,,4_9hours.mp4,1,3
"I just need the crits.
I just need to perform the crits.
Improved critical hits?",No.,,4_9hours.mp4,1,2
Got one.,Stupid bitches.,,4_9hours.mp4,1,18
"The church is cursed.
But I'm gonna go for it.
Or we could do the roof boss.
At the...",At the roof?,,4_9hours.mp4,1,2
"On the roof.
The castle.",I want that church though.,,4_9hours.mp4,1,2
"Yeah.
Oh.","Nice, nice.",,4_9hours.mp4,1,20
"Yep.
Sure.
Oh yeah.
Do we have a stone sword key?",I don't have one.,,4_9hours.mp4,1,2
Why do I get so many HP?,I take it.,,4_9hours.mp4,1,2
"That's probably why you were getting attacked when I was killing people.
Yeah.",You're killing people?,,4_9hours.mp4,1,1
"Guys, if you see the merchant, can you buy starlight shards for me?
Yeah.",Yeah.,,4_9hours.mp4,1,1
"That's a few bosses we just killed.
Let's go here.
I'm doing it.","Oh, that's why we just defeated a boss, yeah.",,4_9hours.mp4,1,1
"Go green, go green.
I'm fine.
Thanks for asking.
How are you?
Meow.
Or we could do a quick mining session.
That is better.
I would appreciate a smithing stone.","I wouldn't be able to level up anything, because it's all epic already.",,4_9hours.mp4,1,4
"Wait, you get them from the mine, don't you?
Yeah.",Yeah.,,4_9hours.mp4,1,1
"I do need one of them.
And there's a merchant here.
Do you still want the smithing stone?
I'm in the gym already.","Oh, poor horse.",,4_9hours.mp4,1,4
Green?,I go there.,,4_9hours.mp4,1,1
"Okay, smithing stone is on my location.
I'm out of here.",I'm gonna kill the insane giant.,,4_9hours.mp4,1,4
"Insane giant in the membrane.
Insane in the brain.
How do I get out of here?
Where's the exit?
Okay, I got my smithing stone.
Loony, at your location there is a merchant.
Would you mind if I need two starlight shards?","Yeah, when I'm done fighting.",,4_9hours.mp4,1,3
"Gilbertson, I'm thinking the same of you.
What is it?
Starlight shards?
Starlight shards.
I need them for the end boss.",Okay.,,4_9hours.mp4,1,3
"Can I still get to the cave?
Oh, there.
I'm coming in the wrong way.
Wait, where are you at?
You already killed the boss.
The bombs.","What, me?",,4_9hours.mp4,1,2
Yeah.,I didn't do nothing.,,4_9hours.mp4,1,1
"I killed the boss.
I do so much damage.
Reduce FP cost?
I will gladly accept this.
Okay, do I upgrade my staff?
Yes, yes, yes.
I'll buy two of these.",I'm gonna level up first.,,4_9hours.mp4,1,2
Can you buy the shards for me?,I'm gonna level up first.,,4_9hours.mp4,1,2
Okay.,Okay.,,4_9hours.mp4,1,2
But then you won't have any money.,Shard.,,4_9hours.mp4,1,7
"Yummy, yummy.
Okay.","Let's go to the ruins, maybe?",,4_9hours.mp4,1,2
"Let's go here.
I think we get more here.",Okay.,,4_9hours.mp4,1,2
"Well, actually, no.
Let's go to you.
Never mind.","Okay, then we go here.",,4_9hours.mp4,1,2
Don't you dare.,Don't you fucking dare.,,4_9hours.mp4,1,2
"Get all the churches.
I got all the churches, right?",Yep.,,4_9hours.mp4,1,2
"I have 6 fast, did I get them all?",Yep.,,4_9hours.mp4,1,2
"Take it away, downtown.
Walking fast.","Yeah, walking slow.",,4_9hours.mp4,1,2
"No, you're walking fast.",I cannot walk fast.,,4_9hours.mp4,1,2
"Giddy, why would you drop on my head?
You stopped me jumping.
You grabbed my foot.
Get off my head.
Run.
You died.",One.,,4_9hours.mp4,1,2
Just the sad boys?,It's just the...,,4_9hours.mp4,1,2
Not a special sad boy?,There's a special sad boy.,,4_9hours.mp4,1,2
"No, he's sad, special and dead.",There's a starlight shard in the basement.,,4_9hours.mp4,1,5
"Okay.
Rest in grace.
I really need to piss.
Oh, FP restoration.",There's one here now.,,4_9hours.mp4,1,2
"Charge incantation.
I only get trash.
Do you want the FP restoration upon attack, Tom?
Yes, please.","That was down there, right?",,4_9hours.mp4,1,2
"Okay, what can I drop?
Oh no, this is just if I hold it.
I don't need this.
If the red hand is next to it, you don't get it as a passive.
I didn't see the red hand.
I caught you red handed.
Okay, I think we have time for this one.
Because the zone is...
Go, go, go.
...gonna move very slow there.
Because the circle is so close.
And it's right on top of a grace, too.
Did we already kill it?
Where is it?
There's no boss here.
Is there another one, maybe?
Can't be.",A fucking lie.,,4_9hours.mp4,1,1
A fucking scam.,I'm jebaited.,,4_9hours.mp4,1,2
"Oh, I can heal up, though.
Back to the grace.
Grace.",Weeee.,,4_9hours.mp4,1,6
"Okay.
That was weird.
Oh, that's not much.
Don't need anything else.
Not at all.","Oh, is there anything in there?",,4_9hours.mp4,1,8
"I have everything I could ever ask for.
Lugigi.",Lugigi.,,4_9hours.mp4,1,2
Lugigo.,"Oh, Lightning Grace.",,4_9hours.mp4,1,8
Niklas!,"Wait, I hear the glitter.",,4_9hours.mp4,1,4
Hello?,Hello?,,4_9hours.mp4,1,2
Hi.,Hi.,,4_9hours.mp4,1,2
Fuck.,This random dude next to us is not hitting anything.,,4_9hours.mp4,1,9
"He's one block away, with spikes on him.
Might as well be a scorpion.",Ah!,,4_9hours.mp4,1,3
"Poise broken.
yeah.
What are you doing in my swamp?",Get out of me swamp.,,4_9hours.mp4,1,8
Me and my mom's swamp.,Ow!,,4_9hours.mp4,1,3
"I hit into a warming stone.
Get out of the fire bro.",I was just chilling in the warming stone.,,4_9hours.mp4,1,3
No.,Why won't you do the Goomba?,,4_9hours.mp4,1,1
Goomba no gooning.,Ah!,,4_9hours.mp4,1,1
Because in the end I really actually enjoyed it.,Ow!,,4_9hours.mp4,1,7
Fuck.,You don't.,,4_9hours.mp4,1,1
"Uh oh.
Uh oh.
He didn't check on the boss.",You're back.,,4_9hours.mp4,1,1
No I have an item that gets me up one time.,Good good good.,,4_9hours.mp4,1,1
"No she's in the stone gully.
Well done.
Oh my god.","Goomba, Loomba and Toomba.",,4_9hours.mp4,1,1
Not again.,Oh yeah.,,4_9hours.mp4,1,1
"Hit it in the face.
Hit it in the face.",Oh shit.,,4_9hours.mp4,1,1
I'm not locked on.,Yeah.,,4_9hours.mp4,1,1
"Heal.
Heal.
I have no heals.
This is it.
Oh my god.
So light now.
Fuck.",Ah.,,4_9hours.mp4,1,1
Why did he tank so much?,I died because I didn't pay attention.,,4_9hours.mp4,1,3
"Why would you not pay attention?
Oh god damn it.",Fuck.,,4_9hours.mp4,1,2
"It's a new mechanic.
It is a new mechanic.",No it's not.,,4_9hours.mp4,1,1
I'm still learning okay.,Goomba is the biggest fucking.,,4_9hours.mp4,1,1
Bavarian.,Bavarian?,,4_9hours.mp4,1,1
"Can we play Duchess?
Do we want to play Duchess?
Is there something we should do though?",Who knows.,,4_9hours.mp4,1,4
Hello.,Hello.,,4_9hours.mp4,1,2
"Motherfucker
And I can't summon Sebastian fuck him up Sebastian
Give me boost. Oh",Man I'm not with you. I picked a fight with goblins,,4_9hours.mp4,1,6
So I am usually the goblin,Ah,,4_9hours.mp4,1,5
"ah
Patrick is a perfect way. I couldn't even to touch",Improved sorcery I take that,,4_9hours.mp4,1,14
"Okay
Explodiert einfach
Dahinten
Komm ich helfe dir",Ich bin gut. Ich nehme deinen.,,4_9hours.mp4,1,9
"Joa
Ja bitte
Oh wie komme ich denn da hoch?
Ah da
Lieber ein Jump
Nee das ist
Jumppad
Ja man schafft man Jumppad
Genau
Fortnite better pass
Das ist nett
Hast du ein neues Mikrofon?
Das ist nur mein
Mic auf dem Headset",Ah,,4_9hours.mp4,1,2
Warum? Nervig?,Nee du klingst besser,,4_9hours.mp4,1,2
"Ich weiß nicht
Ja gut
Ja man
Normalerweise
Muschel ich einfach so rein",Oh wait wait wait,,4_9hours.mp4,1,2
Hab nicht zu viel Spaß ohne mich,Guck mal was,,4_9hours.mp4,1,4
"Wie seid ihr da rein gekommen?
Äh
Das ist was ich sag
Nun wie komme ich hoch?
Ähm",I'm getting fucked,,4_9hours.mp4,1,2
"Don't do that
Don't do that
Okay
Follow me
Wenn du Duchess spielst
Wirst du in der Offhand immer einen
Zauberstab haben
Hier oben",Schmaberschnab,,4_9hours.mp4,1,2
"Ja man
Wir haben zwei
Steinschwertschlüssel Leute",Steinschwertschlüssel,,4_9hours.mp4,1,2
"Okay ich geh noch zum
Secretloot
Was steht da drauf?
Oh",Warte jetzt gehen wir,,4_9hours.mp4,1,4
Ich will noch die secret chest,Okay,,4_9hours.mp4,1,2
"Hier lauf mal mit Ludi mit
Jo mein mein
Also jo wenn du nur für so ein
Secretding kurz da hingehst
Dann soll ich ja nicht mit steppen
Du sagst du gehst mit mir mit
Ich wollte erst mal
Dann sagst du jo ich mach so ein secretding
Ganz kurz",Ich geh noch kurz zu der Grace hier,,4_9hours.mp4,1,2
Ich hab noch einen Steinschwertschlüssel,Wir machen einfach alle,,4_9hours.mp4,1,2
"Bisschen weiter noch
Bisschen weiter
Da unten",Ah ja,,4_9hours.mp4,1,4
Wo ist der Baum?,I didn't,,4_9hours.mp4,1,2
Also ok,Ah wir haben crucible knights,,4_9hours.mp4,1,2
"Stone kommt aber schon
Wir können ja nicht so viel machen",Au,,4_9hours.mp4,1,14
"What's in the box?
Oh das ist das Boden",I love devil may cry,,4_9hours.mp4,1,30
"Das ist ein kleiner Boss, oder wie?","Lass mal hier den Evertrail machen, oder?",,4_9hours.mp4,1,2
"Kleiner Wolf!
Wo bist du?
Oh, der nicht Wolf, da ist oben so ein kleiner Fuchs, glaube ich, so wie wir haben.",Das war ein falscher Ulti.,,4_9hours.mp4,1,3
"Er ist schon da, ich glaube.
Wir müssen ihn erledigen.
Ich habe ihn nicht erledigt.
Das war ein Falscher Ulti.
Er hat mich nicht erledigt.
Ich habe ihn nicht erledigt.
Er hat mich nicht erledigt.
Ich habe ihn nicht erledigt.
Er hat mich nicht erledigt.
Er hat mich nicht erledigt.
Das war ein ..",kann ich da oben hochkommen?,,4_9hours.mp4,1,1
Nein.,"Can you jump me, jump me?",,4_9hours.mp4,1,1
"Soll ich das dann direkt starten?
Soll ich das da doch anmachen?
Spveckel!",Komm!,,4_9hours.mp4,1,9
Go for it.,"Ja, hau rein.",,4_9hours.mp4,1,1
"Bro, what the fuck?
Scheiß Krebs!",Okay.,,4_9hours.mp4,1,3
"Dann starte ich mal.
Hau rein.
Oder?",Ja.,,4_9hours.mp4,1,1
Von letzter Dreams be Dreams.,Okay.,,4_9hours.mp4,1,3
Cooldown oder so.,Ich weiß es nicht.,,4_9hours.mp4,1,1
Was hat er gesagt?,Nee.,,4_9hours.mp4,1,1
"Der Black Knife Assassin ist weiter unten.
Oder hier drüben.
Warte.
Hier drüben ist er.
Können wir auch gleich hingehen.",Was ist da?,,4_9hours.mp4,1,3
"Äh.
Hallo.
Äh.
Nope.
Ist alles gar nichts.
Ja.
Lass Black Knife Assassin noch mal.",Ja.,,4_9hours.mp4,1,3
"Kann ich auch?
What?
Ich weiß nicht.
Ja.
Okay.
Oh.
Wo?
Ah.
Da.
Ja.
Das geht auch.
Geil, Omar.
Er ist einfach nur zu schnell.",Ich mag ihn nicht.,,4_9hours.mp4,1,1
"Dann haust du einfach zu.
Bam.
Vorbei.
Okay.",Son moved.,,4_9hours.mp4,1,1
"Ist noch eine Grace bei dir?
Jo.
Ich muss auch da hin.
Es geht nicht anders.",I would get a PC.,,4_9hours.mp4,1,3
Oh es ist hart.,Not nice.,,4_9hours.mp4,1,2
The graphics are not correct.,Yeah.,,4_9hours.mp4,1,1
Wow.,Like the best graphics card.,,4_9hours.mp4,1,1
"Why.
Come back.",Where is he?,,4_9hours.mp4,1,9
