text,language,source,timestamp,line
Maybe I misjudged myself with the size.,en,artstream,00:00:00,17
I think I want to make him a little fatter.,en,artstream,00:00:00,18
I shouldn't have made him fatter.,en,artstream,00:00:00,19
Now I don't have any space for the second hand.,en,artstream,00:00:00,20
We are going to change the picture a little bit.,en,artstream,00:00:00,21
We are going to give him an actual finger.,en,artstream,00:00:00,22
This picture is so crusty.,en,artstream,00:00:00,23
He has baby hands.,en,artstream,00:00:00,24
And a huge skull.,en,artstream,00:00:00,25
This thing is really wider than his body.,en,artstream,00:00:00,26
"Okay, we are going to make it rough and then we are going to make it better without any eraser.",en,artstream,00:00:00,27
I misjudged my skills.,en,artstream,00:00:00,28
"I thought that because I played so much Gothic phone with my colleagues during work time, I am definitely really good now.",en,artstream,00:00:00,29
I was wrong.,en,artstream,00:00:00,30
I have to speedrun a little bit.,en,artstream,00:00:00,31
But it's just a sketch.,en,artstream,00:00:00,32
And now I have to make his eyes.,en,artstream,00:00:00,33
"Okay, here the eyes lids open",en,artstream,00:00:00,34
But the eye itself is here.,en,artstream,00:00:00,35
Oh my god.,en,artstream,00:00:00,36
The proportions are so bad.,en,artstream,00:00:00,37
"Hello, hi Polar.",en,artstream,00:00:00,38
Welcome to my art stream.,en,artstream,00:00:00,39
So here is the nose.,en,artstream,00:00:00,40
"Well, it's just going to be hyperrealism, kids.",en,artstream,00:00:00,41
I already announced that this is going to be extremely disappointing.,en,artstream,00:00:00,42
And I think that Sisi doesn't want to have this picture.,en,artstream,00:00:00,43
Honestly.,en,artstream,00:00:00,44
Oh no.,en,artstream,00:00:00,45
He looks a little depressed.,en,artstream,00:00:00,46
But that's okay.,en,artstream,00:00:00,47
"Why does he have such a crazy eye shadow, bro?",en,artstream,00:00:00,48
Yes.,en,artstream,00:00:00,50
And it's going to be terrible.,en,artstream,00:00:00,51
It's going to be a terrible bubble.,en,artstream,00:00:00,52
Honestly.,en,artstream,00:00:00,53
"Okay, that's his chin.",en,artstream,00:00:00,54
And here is the mouth.,en,artstream,00:00:00,55
Oh god.,en,artstream,00:00:00,56
Oh god.,en,artstream,00:00:00,57
Oh god.,en,artstream,00:00:00,58
"Wait, it's starting to look like bubbles.",en,artstream,00:00:00,59
"It's not that bad, okay?",en,artstream,00:00:00,60
Okay?,en,artstream,00:00:00,61
Shit.,en,artstream,00:00:00,63
Oh no.,en,artstream,00:00:00,65
I thought you were going to book for both.,en,artstream,00:00:00,66
Oh my god.,en,artstream,00:00:00,67
I know you can't see it yet.,en,artstream,00:00:00,68
But I see it.,en,artstream,00:00:00,69
I see bubbles coming here.,en,artstream,00:00:00,70
We just have to fix a little bit here.,en,artstream,00:00:00,71
We just have to fix a little bit.,en,artstream,00:00:00,72
But I see bubbles.,en,artstream,00:00:00,73
"But he doesn't look high enough, does he?",en,artstream,00:00:00,74
Does he have ears?,en,artstream,00:00:00,75
Shit.,en,artstream,00:00:00,77
Yes.,en,artstream,00:00:00,79
"It's going to be shit, I tell you.",en,artstream,00:00:00,80
"I mean, if there is a high load, is it expected that people have to stand there?",en,artstream,00:00:00,81
Or is it actually the case that extra seats are expected?,en,artstream,00:00:00,82
I don't know.,en,artstream,00:00:00,83
It's an honest question.,en,artstream,00:00:00,84
I don't think the eye should be that wide open.,en,artstream,00:00:00,85
The mouth is crooked.,en,artstream,00:00:00,86
I have to turn the mouth like that.,en,artstream,00:00:00,87
I have to turn the mouth like that.,en,artstream,00:00:00,88
If I just pay the digital bill now.,en,artstream,00:00:00,89
Why didn't anyone tell me that I should do that?,en,artstream,00:00:00,90
Children.,en,artstream,00:00:00,91
Why didn't anyone tell me that?,en,artstream,00:00:00,92
Max didn't even come up with it.,en,artstream,00:00:00,93
How do I do this without fucking erasers?,en,artstream,00:00:00,94
Why don't I have eraser ?,en,artstream,00:00:00,95
"Yes, yes, yes.",en,artstream,00:00:00,97
What Bush says.,en,artstream,00:00:00,98
I have to actually see that I have a point here.,en,artstream,00:00:00,99
And here a point.,en,artstream,00:00:00,100
And here a point.,en,artstream,00:00:00,101
And here we have another point.,en,artstream,00:00:00,102
"And a lot of lashes, but we'll do them later.",en,artstream,00:00:00,103
They are also white.,en,artstream,00:00:00,104
His fingers have weird tips.,en,artstream,00:00:00,105
His head is fucking fat.,en,artstream,00:00:00,106
And I think he has a ear.,en,artstream,00:00:00,107
I think he has mini ears.,en,artstream,00:00:00,108
So I will give him a tiny ear.,en,artstream,00:00:00,109
"If you have so many points left, go for it Max.",en,artstream,00:00:00,110
I don't think you'll regret that either.,en,artstream,00:00:00,111
This is my mix of the week.,en,artstream,00:00:00,112
"If you want to judge my taste for music, please do it som other time.",en,artstream,00:00:00,113
Because this is not it.,en,artstream,00:00:00,114
I see that there are still a lot of hardeeboos who are at least hypercats.,en,artstream,00:00:00,115
Let's see.,en,artstream,00:00:00,116
I don't think it's that bad with hardeeboos.,en,artstream,00:00:00,117
I'm going to do a chupa chups.,en,artstream,00:00:00,118
I'm going to put on some raspberry cream.,en,artstream,00:00:00,119
Really cool.,en,artstream,00:00:00,120
I'm really looking forward to it.,en,artstream,00:00:00,121
I'm thinking about it right now.,en,artstream,00:00:00,122
It's the mango that's on offer.,en,artstream,00:00:00,123
And I'm actually pretty excited about it.,en,artstream,00:00:00,124
But well.,en,artstream,00:00:00,125
So now watch out.,en,artstream,00:00:00,126
I have to see.,en,artstream,00:00:00,127
I'll take this color.,en,artstream,00:00:00,128
And that's a good idea.,en,artstream,00:00:00,129
Maybe this color.,en,artstream,00:00:00,130
I can't do shading kids.,en,artstream,00:00:00,131
They're good.,en,artstream,00:00:00,132
I think raspberry cream is really nice.,en,artstream,00:00:00,133
Blood pressure is lala.,en,artstream,00:00:00,135
But it's okay.,en,artstream,00:00:00,136
I lived.,en,artstream,00:00:00,137
I'm going to sleep.,en,artstream,00:00:00,138
"Otherwise, yes.",en,artstream,00:00:00,139
I can't complain now.,en,artstream,00:00:00,140
I have a vacation next week.,en,artstream,00:00:00,141
So I have a vacation from now on.,en,artstream,00:00:00,142
"Basically, which is nice.",en,artstream,00:00:00,143
I need red for my mouth.,en,artstream,00:00:00,144
Maybe this one.,en,artstream,00:00:00,145
I'm really excited because I'm on vacation now.,en,artstream,00:00:00,146
The weekend is the summer party.,en,artstream,00:00:00,147
It stresses me a bit because it's a lot.,en,artstream,00:00:00,148
You can actually have an iron overdose.,en,artstream,00:00:00,150
Which can end pretty bad.,en,artstream,00:00:00,151
"No, no channel points for iron pill.",en,artstream,00:00:00,152
We don't do that.,en,artstream,00:00:00,153
"Yes, I wasn't that active in the WhatsApp group.",en,artstream,00:00:00,154
I always try to read it.,en,artstream,00:00:00,155
But if it's too much,en,artstream,00:00:00,156
I'm not going to read it.,en,artstream,00:00:00,157
I always try to read it.,en,artstream,00:00:00,158
"But if it's too much, I'll also read it.",en,artstream,00:00:00,159
So busy.,en,artstream,00:00:00,160
Do I start?,en,artstream,00:00:00,161
"No, I start with the base color.",en,artstream,00:00:00,162
And the shading.,en,artstream,00:00:00,163
And then I do the black at the end.,en,artstream,00:00:00,164
And I'm annoyed that I did it like that.,en,artstream,00:00:00,165
As always.,en,artstream,00:00:00,166
"Yes, okay.",en,artstream,00:00:00,168
"Yes, exactly.",en,artstream,00:00:00,169
So I have that more often.,en,artstream,00:00:00,170
I have that more often too.,en,artstream,00:00:00,171
That there are a lot of messages in there.,en,artstream,00:00:00,172
Sometimes we just have 300 messages in there.,en,artstream,00:00:00,173
"Oh no, I already have color on my fingers.",en,artstream,00:00:00,174
Son of a bitch.,en,artstream,00:00:00,175
I'm not reading this.,en,artstream,00:00:00,176
I can't.,en,artstream,00:00:00,177
I can't.,en,artstream,00:00:00,178
Is that already open?,en,artstream,00:00:00,179
Of course not.,en,artstream,00:00:00,180
Do I have to open all of them now?,en,artstream,00:00:00,181
Hello.,en,artstream,00:00:00,182
"Na, Sisi.",de,artstream,00:00:00,183
It's not going to be good.,en,artstream,00:00:00,184
I know you want the final product.,en,artstream,00:00:00,185
But the final product is not going to be good.,en,artstream,00:00:00,186
But nice that you're here.,en,artstream,00:00:00,187
"Hello, welcome to my hand stream.",en,artstream,00:00:00,188
I actually want to do a round here.,en,artstream,00:00:00,189
Oh my god.,en,artstream,00:00:00,190
Oh my god.,en,artstream,00:00:00,191
"Niklas, now even Bimo got scared.",en,artstream,00:00:00,192
Hello.,en,artstream,00:00:00,193
"Hello Niklas, thank you for 19 months of sub.",en,artstream,00:00:00,194
"The question is now, can you see it?",en,artstream,00:00:00,195
"Yes, you can see the pencil through.",en,artstream,00:00:00,196
That's good.,en,artstream,00:00:00,197
That's all I want.,en,artstream,00:00:00,198
That was the goal.,en,artstream,00:00:00,199
Boy.,en,artstream,00:00:00,200
Oh Niklas.,en,artstream,00:00:00,201
That's now painting.,en,artstream,00:00:00,202
"But with, um...",en,artstream,00:00:00,203
I'm going to fuck you off with how I paint things.,en,artstream,00:00:00,204
Because I'm not doing it perfectly now.,en,artstream,00:00:00,205
The question is...,en,artstream,00:00:00,206
Am I speeding too much?,en,artstream,00:00:00,207
I have a little headache.,en,artstream,00:00:00,209
But I think that will go away now.,en,artstream,00:00:00,210
Because I drank Red Bull.,en,artstream,00:00:00,211
And generally now drink more.,en,artstream,00:00:00,212
That's just because I drank too little.,en,artstream,00:00:00,213
All day.,en,artstream,00:00:00,214
Otherwise pretty good.,en,artstream,00:00:00,215
I have a holiday from now until the end of next week.,en,artstream,00:00:00,216
And I'm going to go to the gym.,en,artstream,00:00:00,217
Maybe there are some co-working streams.,en,artstream,00:00:00,218
Maybe there are some co-working sessions in the Discord.,en,artstream,00:00:00,219
I just fucked off a little bit again.,en,artstream,00:00:00,220
Because next month shit gets more expensive.,en,artstream,00:00:00,221
"Or not next month, actually this month.",en,artstream,00:00:00,222
But I'm pushing everything to next month.,en,artstream,00:00:00,223
I just have to pay back taxes from Twitch.,en,artstream,00:00:00,224
Then I throw the party.,en,artstream,00:00:00,225
Because this month I have insurance for my car.,en,artstream,00:00:00,226
And we want the flights to Japan too.,en,artstream,00:00:00,227
"And we want the flights to Japan, so we take a flight to Japan.",en,artstream,00:00:00,228
I think I'm simply doing a random Japan stream in Japan.,en,artstream,00:00:00,229
Imagine.,en,artstream,00:00:00,230
We go for a walk together.,en,artstream,00:00:00,231
A really shitty time for you.,en,artstream,00:00:00,232
Not my problem.,en,artstream,00:00:00,233
How do I do this?,en,artstream,00:00:00,234
How do I do this?,en,artstream,00:00:00,235
Look at me.,en,artstream,00:00:00,236
What am I doing?,en,artstream,00:00:00,237
Why am I doing this?,en,artstream,00:00:00,238
"Well, whatever.",en,artstream,00:00:00,239
The will counts.,en,artstream,00:00:00,240
I need a thinner pimple.,en,artstream,00:00:00,241
I'm going to buy a new one.,en,artstream,00:00:00,242
Sure.,en,artstream,00:00:00,244
I'm buying a new one so I don't have to hold the camera.,en,artstream,00:00:00,245
Then easy.,en,artstream,00:00:00,246
Easy.,en,artstream,00:00:00,247
"Easy, easy, easy, easy.",en,artstream,00:00:00,248
"Oh, fuck it.",en,artstream,00:00:00,249
I fucked it.,en,artstream,00:00:00,250
I can fix it with white.,en,artstream,00:00:00,251
It's all good.,en,artstream,00:00:00,252
"Oh, no.",en,artstream,00:00:00,253
Yes.,en,artstream,00:00:00,254
My mom likes to watch this.,en,artstream,00:00:00,255
Walking things.,en,artstream,00:00:00,256
I think it's nice too.,en,artstream,00:00:00,257
It's relaxing.,en,artstream,00:00:00,258
Entspannung,de,artstream,00:00:00,259
He has white eyeshadow.,en,artstream,00:00:00,261
Basically.,en,artstream,00:00:00,262
"But I have to say, it's therapeutic.",en,artstream,00:00:00,263
Just to paint.,en,artstream,00:00:00,264
It's fun.,en,artstream,00:00:00,265
Even if it's not good.,en,artstream,00:00:00,266
It's fun.,en,artstream,00:00:00,267
"Thank you, Niklas, for the subgoal.",en,artstream,00:00:00,268
Thank you for the subbies.,en,artstream,00:00:00,269
It's a good issue.,en,artstream,00:00:00,270
And today I'm...,en,artstream,00:00:00,271
Yesterday I was pretty fucked.,en,artstream,00:00:00,272
I'm honest.,en,artstream,00:00:00,273
Today I'm pretty fit.,en,artstream,00:00:00,274
That's why I wanted to start earlier today.,en,artstream,00:00:00,275
I hope it wasn't offensive.,en,artstream,00:00:00,276
"And Bush, are you leaving at 8?",en,artstream,00:00:00,277
How late is it?,en,artstream,00:00:00,278
"Oh, 19.30.",en,artstream,00:00:00,279
"Yes, that's a bit untypical for me.",en,artstream,00:00:00,280
That's true.,en,artstream,00:00:00,281
I'm not too late.,en,artstream,00:00:00,282
If you haven't noticed.,en,artstream,00:00:00,283
"Oh man, I really don't have a system.",en,artstream,00:00:00,284
I would understand.,en,artstream,00:00:00,285
I'm doing the foundation now.,en,artstream,00:00:00,286
What do I do as background color?,en,artstream,00:00:00,287
As...,en,artstream,00:00:00,288
"Oh, right.",en,artstream,00:00:00,291
Perfect co-working stream for me.,en,artstream,00:00:00,292
Let's go.,en,artstream,00:00:00,293
"Have fun with Grounded 2, Niklas.",en,artstream,00:00:00,294
I guess you're a bit lurky and don't hear me.,en,artstream,00:00:00,295
But still.,en,artstream,00:00:00,296
Thanks for the lurk.,en,artstream,00:00:00,297
Nice that you're all here.,en,artstream,00:00:00,298
Thomas and Sue.,en,artstream,00:00:00,299
Why are you streaming on Thursday night?,en,artstream,00:00:00,300
It's really late.,en,artstream,00:00:00,301
I think it's Thursday night.,en,artstream,00:00:00,302
That was the time for shit.,en,artstream,00:00:00,303
"Yes, right.",en,artstream,00:00:00,304
I hoped there wouldn't be so many to judge my art skills.,en,artstream,00:00:00,305
My non-existent art skills.,en,artstream,00:00:00,306
What?,en,artstream,00:00:00,308
What for?,en,artstream,00:00:00,309
What for?,en,artstream,00:00:00,310
Before what?,en,artstream,00:00:00,311
Just health insurance?,en,artstream,00:00:00,312
"Yeah, happens.",en,artstream,00:00:00,313
But I think it's okay.,en,artstream,00:00:00,314
They'll see that you've registered yourself and they'll be pretty nice.,en,artstream,00:00:00,315
Let's go.,en,artstream,00:00:00,317
I think Bibels has ears.,en,artstream,00:00:00,318
"Wait, I have another picture of him.",en,artstream,00:00:00,319
"Yes, Bibels has ears.",en,artstream,00:00:00,320
But Bibels has other ears!,en,artstream,00:00:00,321
"Whatever, I gave him one.",en,artstream,00:00:00,322
Well.,en,artstream,00:00:00,323
"I'm ear-racist, apparently.",en,artstream,00:00:00,324
"I can fix that, too.",en,artstream,00:00:00,325
He has ears like this.,en,artstream,00:00:00,326
I'm not sure.,en,artstream,00:00:00,327
I'm not sure.,en,artstream,00:00:00,328
I'm not sure.,en,artstream,00:00:00,329
I have ears like this.,en,artstream,00:00:00,330
So.,en,artstream,00:00:00,331
Bibels is my spirit animal.,en,artstream,00:00:00,332
I'm basically painting a portrait of Sisi.,en,artstream,00:00:00,333
But I'm sorry.,en,artstream,00:00:00,334
I'm not going to be fair to you.,en,artstream,00:00:00,335
I wish I could.,en,artstream,00:00:00,336
I would love to draw oil paintings like that.,en,artstream,00:00:00,337
Flirty Bibels will be channeled.,en,artstream,00:00:00,338
"Yes, Sisi.",en,artstream,00:00:00,339
Where is the Flirty Bibels?,en,artstream,00:00:00,340
Here.,en,artstream,00:00:00,341
I'm sorry I can't get to the chat.,en,artstream,00:00:00,342
"I'm always on the canvas, obviously.",en,artstream,00:00:00,343
Sometimes I skip a few things.,en,artstream,00:00:00,344
I hope you can forgive me.,en,artstream,00:00:00,345
"Okay, first layer of paint.",en,artstream,00:00:00,346
Foundation.,en,artstream,00:00:00,347
Then.,en,artstream,00:00:00,348
Okay.,en,artstream,00:00:00,349
Then I want here.,en,artstream,00:00:00,350
I need a little bit of shading here.,en,artstream,00:00:00,351
Shading.,en,artstream,00:00:00,352
So.,en,artstream,00:00:00,353
You can't really blend with acrylic paints.,en,artstream,00:00:00,354
Fuck!,en,artstream,00:00:00,356
"Nee, das ist okay.",de,artstream,00:00:00,357
And then at some point really burned.,en,artstream,00:00:00,358
And that's why we have a lot of boxes of beers for free.,en,artstream,00:00:00,359
Because they thanked us for that.,en,artstream,00:00:00,360
That's all for the summer party.,en,artstream,00:00:00,361
...,en,artstream,00:00:00,362
...,en,artstream,00:00:00,363
Dein Papa hat den Jungen gepaid.,de,artstream,00:00:00,364
"Ja, ja, ja.",de,artstream,00:00:00,365
"Nee, es war richtig crazy.",de,artstream,00:00:00,366
Es war einfach sogar die Kripo da.,de,artstream,00:00:00,367
Sauviele.,de,artstream,00:00:00,368
Also Polizei war da.,de,artstream,00:00:00,369
Feuerwehr.,de,artstream,00:00:00,370
Kripo.,de,artstream,00:00:00,371
"Und das Ding war auch, das hat gebrannt.",de,artstream,00:00:00,372
Und irgendwie ein paar Meter neben diesem scheiß Brand war einfach ein Gaskanister und so.,de,artstream,00:00:00,373
Also richtig crazy eigentlich.,de,artstream,00:00:00,374
"Richtig crazy, dass das meinem Dad halt früh genug aufgefallen ist.",de,artstream,00:00:00,375
"Ich habe das Gefühl, das ist nicht die richtige Farbe.",de,artstream,00:00:00,376
Das ist zu grün.,de,artstream,00:00:00,377
what I'm doing here by the way.,en,artstream,00:00:00,378
I'm just vibing.,en,artstream,00:00:00,379
That was too much blue.,en,artstream,00:00:00,380
I want to have this white blue.,en,artstream,00:00:00,381
Very very bright very very bright light blue.,en,artstream,00:00:00,382
Let's see what comes out of this color.,en,artstream,00:00:00,383
"Yes, then drink it.",en,artstream,00:00:00,385
Go for it.,en,artstream,00:00:00,386
I have so much Bulmers cider here now for the summer party.,en,artstream,00:00:00,387
A little bit of Sekt.,en,artstream,00:00:00,388
I think that's more the color of Bibles now.,en,artstream,00:00:00,389
You know what I'm saying?,en,artstream,00:00:00,390
"Come on, I'll try it now.",en,artstream,00:00:00,391
Now it's not that bad with this foundation and stuff.,en,artstream,00:00:00,392
But I don't know either.,en,artstream,00:00:00,393
I don't know either.,en,artstream,00:00:00,394
What's wrong with my mixer?,en,artstream,00:00:00,395
It's so epic.,en,artstream,00:00:00,396
Synthwave sometimes.,en,artstream,00:00:00,397
"Yes, hello.",en,artstream,00:00:00,398
Hello.,en,artstream,00:00:00,399
"Yes, try it.",en,artstream,00:00:00,401
My first time drunk was because of the desperado that my brother gave me.,en,artstream,00:00:00,402
Fun fact.,en,artstream,00:00:00,403
"And man, I was gone.",en,artstream,00:00:00,404
"Well, Lauri, we'll see each other tomorrow.",en,artstream,00:00:00,405
"Or the day after tomorrow, at the latest.",en,artstream,00:00:00,406
Really crazy.,en,artstream,00:00:00,407
"I'm so fucking, I think it's so fucking bad that the weather doesn't even fit.",en,artstream,00:00:00,408
"Okay, I want to, I need really dark blue for his eyes.",en,artstream,00:00:00,409
Tom has such a really cool collection of colors.,en,artstream,00:00:00,410
I have to open all of them first.,en,artstream,00:00:00,411
He just bought 1000 colors and never used them.,en,artstream,00:00:00,412
"Well, it's still 22 degrees and it probably won't always rain.",en,artstream,00:00:00,414
"I actually need something to clean my brushes here, to be honest.",en,artstream,00:00:00,415
But well.,en,artstream,00:00:00,416
Does he have a nose hole?,en,artstream,00:00:00,417
I guess so.,en,artstream,00:00:00,418
"Bibbles, do you have a nose hole?",en,artstream,00:00:00,419
How do you stand to have a nose hole?,en,artstream,00:00:00,420
"Chat, how do you stand to have a nose hole?",en,artstream,00:00:00,421
"Yes, you got this.",en,artstream,00:00:00,425
"You got this, Lauri.",en,artstream,00:00:00,426
Riding in a train is just super exhausting.,en,artstream,00:00:00,427
Why did I do that?,en,artstream,00:00:00,428
Why did I do that?,en,artstream,00:00:00,429
"Actually, I have to, he doesn't look that fluffy in the mirror.",en,artstream,00:00:00,430
I have to watch me paint and fuck it up.,en,artstream,00:00:00,431
How purple are you?,en,artstream,00:00:00,432
Do I want...,en,artstream,00:00:00,433
I'm a twist pale purple.,en,artstream,00:00:00,434
Boy.,en,artstream,00:00:00,435
It's more this one.,en,artstream,00:00:00,436
Maybe I need this for darker things.,en,artstream,00:00:00,437
I'm trying!,en,artstream,00:00:00,439
Don't stress me.,en,artstream,00:00:00,440
"I'm trying my best, okay?",en,artstream,00:00:00,441
Where's the pink brush?,en,artstream,00:00:00,442
Did I use it for pink?,en,artstream,00:00:00,443
Yes.,en,artstream,00:00:00,444
Yes!,en,artstream,00:00:00,445
I'm going to paint it.,en,artstream,00:00:00,446
I'm going to paint it.,en,artstream,00:00:00,447
I'm going to paint it.,en,artstream,00:00:00,448
I'm going to paint it.,en,artstream,00:00:00,449
Okay.,en,artstream,00:00:00,450
Okay.,en,artstream,00:00:00,451
I'm going to paint it pink.,en,artstream,00:00:00,452
The little tweezers.,en,artstream,00:00:00,453
Right?,en,artstream,00:00:00,455
"I might have tried, but boy, it's so painful, the shit.",en,artstream,00:00:00,456
I'm putting too much paint on here all the time.,en,artstream,00:00:00,458
It's such a waste.,en,artstream,00:00:00,459
A wasting color.,en,artstream,00:00:00,460
I can't handle acrylic colors that well.,en,artstream,00:00:00,461
I had to paint in school and had a time where I painted on canvas.,en,artstream,00:00:00,462
"I was like, yes, I really want to paint oil-painting shit.",en,artstream,00:00:00,463
Well.,en,artstream,00:00:00,464
"I hope you know it, but it was a beautiful dream.",en,artstream,00:00:00,465
It was a beautiful dream.,en,artstream,00:00:00,466
Honestly.,en,artstream,00:00:00,467
So we'll start in the dark and then later on we'll do bright shit.,en,artstream,00:00:00,468
I want it to look a little fluffier.,en,artstream,00:00:00,469
Yes.,en,artstream,00:00:00,470
"I'll turn it around for you, then you can see how it actually looks and not always wrong around here.",en,artstream,00:00:00,471
What kind of background color was that?,en,artstream,00:00:00,472
"I hope I fixed the mouth enough, to be honest.",en,artstream,00:00:00,473
"I hope I fixed the mouth enough, to be honest.",en,artstream,00:00:00,474
"I think we have too little background for flames, so that you can actually do it well.",en,artstream,00:00:00,476
"No, I painted my documents.",en,artstream,00:00:00,477
I had to wash them anyway.,en,artstream,00:00:00,478
It's okay.,en,artstream,00:00:00,479
"I'm actually most afraid of the outlines, because I can't do it.",en,artstream,00:00:00,480
"I'm actually most afraid of the outlines, because I can't do it.",en,artstream,00:00:00,481
"Okay, I can try.",en,artstream,00:00:00,483
So.,en,artstream,00:00:00,484
"Just silly little, no, happy little accidents.",en,artstream,00:00:00,485
"Just silly little, no, happy little accidents.",en,artstream,00:00:00,486
I was not a wishful child.,en,artstream,00:00:00,487
Well.,en,artstream,00:00:00,488
"Boy, my mother got a call today from a fake Lena.",en,artstream,00:00:00,489
Because I had an accident.,en,artstream,00:00:00,490
It was really bad.,en,artstream,00:00:00,491
Apparently I cried very hard.,en,artstream,00:00:00,492
I said I ran over a pregnant woman.,en,artstream,00:00:00,493
She's about to die.,en,artstream,00:00:00,494
"Or rather, I didn't say that anymore.",en,artstream,00:00:00,495
I said the policewoman I was supposed to hand over the phone to.,en,artstream,00:00:00,496
"And that the state law wants 50,000 euros now.",en,artstream,00:00:00,497
Whether my mother has so much money.,en,artstream,00:00:00,498
Whether she has cash at home to get more money.,en,artstream,00:00:00,499
Or valuable items at home that she can sell.,en,artstream,00:00:00,500
Because otherwise she can't see me anymore.,en,artstream,00:00:00,501
My mother actually bought it very shortly.,en,artstream,00:00:00,502
And has already checked how she can make money liquid.,en,artstream,00:00:00,503
And how much money is on the daily account and so on.,en,artstream,00:00:00,504
The poor mouse was extremely stressed.,en,artstream,00:00:00,505
Yes.,en,artstream,00:00:00,506
It was fake.,en,artstream,00:00:00,507
So it's really hard.,en,artstream,00:00:00,508
Really hard scammer was definitely on the way.,en,artstream,00:00:00,509
"Sorry, I was just mega in the zone.",en,artstream,00:00:00,510
"Yes, I was also talking in dialect.",en,artstream,00:00:00,512
Because I was then so to my mom.,en,artstream,00:00:00,513
I don't want to call and speak in high German with my mother.,en,artstream,00:00:00,515
"Yes, everything was in dialect and so on.",en,artstream,00:00:00,516
"And really, really, yes, just realistically.",en,artstream,00:00:00,517
And my mom did ultranks.,en,artstream,00:00:00,518
Obviously.,en,artstream,00:00:00,519
Would scare me too.,en,artstream,00:00:00,520
"And she says, this is this stupid AI.",en,artstream,00:00:00,521
But now she just didn't check.,en,artstream,00:00:00,522
"As if public prosecutor asks for 50,000 euros.",en,artstream,00:00:00,523
And she can't tell her husband.,en,artstream,00:00:00,524
She can't tell my dad.,en,artstream,00:00:00,525
Because otherwise she makes herself punishable.,en,artstream,00:00:00,526
"Yes, she got ultra in there.",en,artstream,00:00:00,528
He was really shaking and so on.,en,artstream,00:00:00,529
And just had mega fear.,en,artstream,00:00:00,530
And I understand it too.,en,artstream,00:00:00,531
I think it's crazy too.,en,artstream,00:00:00,532
"Thank you, thank you.",en,artstream,00:00:00,534
"I'm not convinced yet, but it can only be.",en,artstream,00:00:00,535
"I can only be convinced of myself, actually.",en,artstream,00:00:00,536
Hi Kai.,de,artstream,00:00:00,537
I need.,en,artstream,00:00:00,538
"Okay, you're already open.",en,artstream,00:00:00,539
"No, they're all half full.",en,artstream,00:00:00,540
What kind of shit is that?,en,artstream,00:00:00,541
I don't need that color anymore.,en,artstream,00:00:00,542
I'm doing it now.,en,artstream,00:00:00,543
I'm decent now.,en,artstream,00:00:00,544
I changed a few things.,en,artstream,00:00:00,546
It was too green.,en,artstream,00:00:00,547
Indeed.,en,artstream,00:00:00,548
"So it's still too green, I would say.",en,artstream,00:00:00,549
