context_text,reply_text,language,source,gap_lines,gap_seconds
Augur ist nervtürm.,"Ja, ich will ihn mal ausprobieren.",,4_9hours.mp4,1,2
"Oh nein, spielst du Spiele am Wochenende, nach der Arbeit?","Ja, aber ich streame es nicht immer.",,4_9hours.mp4,1,9
Was zur Hölle?,"Oida, wo ist zum Teufel?",,4_9hours.mp4,1,1
Das ist zum Ficken.,For real.,,4_9hours.mp4,1,2
Alt F4.,Annoying sounds.,,4_9hours.mp4,4,12
Guten Appetit.,Dankeschön.,,4_9hours.mp4,1,2
Ich bin auch noch am essen.,Sollen wir eine kurze Pause einlegen?,,4_9hours.mp4,1,2
Schön dunkel.,Und es ist zu dunkel.,,4_9hours.mp4,1,6
Was sind die average Salary in Deutschland?,Ich glaube es ist,,4_9hours.mp4,1,2
"Sag Google für Vollzeit. Okay, Crazy.","Dann ist der aber schon ziemlich gestiegen nochmal. Das war doch eine ganze Zeit lang bei 40k, oder?",,4_9hours.mp4,1,4
"Dann höre, was du gefragt hast. Ich frage, ob du denkst, sie kommen nach Deutschland.",Das ist ein guter Film.,,4_9hours.mp4,1,8
"Es wird in Paris gespielt.
Ah, okay.",Paris ist schön.,,4_9hours.mp4,1,9
Das ist Law?,Ja.,,4_9hours.mp4,1,2
Wirst du eine Woche in Warsaw bleiben und dann in Paris? Wie lange?,Wie lange?,,4_9hours.mp4,1,6
Sie sind wirklich alle Kacke.,Hm.,,4_9hours.mp4,1,7
Seine Stimme ist super ruhig.,Und hier ist es nur Ambient-Geräusch für 20 Minuten mehr.,,4_9hours.mp4,1,2
Hast du jemals ein Review von Bloodborne geschaut?,Nein.,,4_9hours.mp4,1,4
Give me a second to get headset. Let's go. Okay.,"Okay, okay.",,4_9hours.mp4,1,5
"Seid ihr im Discord oder wo? Ja, wir sind im Community Discord.",In Lunes Gate.,,4_9hours.mp4,1,5
Ich habe das Game zugemacht. Weird.,Vielleicht warst du deswegen dann einfach noch länger drin.,,4_9hours.mp4,1,2
Mir geht's gut. Das ist schön.,Mir geht's auch gut. Ich habe gut geschlafen.,,4_9hours.mp4,1,2
My teammates are so funny.,We are chaotic as fuck.,,4_9hours.mp4,1,2
I wanna burst a boss in my run.,"Ja, for real. That was so chill.",,4_9hours.mp4,1,2
Crying check.,Gilly.,,4_9hours.mp4,2,6
"Yeah!
Yeah!
Hey Nicholas, how are you doing?
Nice to see you here.","Ow, wrong step.",,4_9hours.mp4,3,4
"You don't have to get me back. It's Elden Ring Nightreign. Yes, yes, yes, yes. Sorry.",I was very concentrated and still died.,,4_9hours.mp4,1,6
Be back. Welcome back. I'm Lune.,Yeah. I'm reclosing right now. I fucking hate her.,,4_9hours.mp4,1,5
"That's midnight 2, yes.",Meh.,,4_9hours.mp4,1,4
This does not seem to be the strat.,You might be correct here.,,4_9hours.mp4,1,4
Have you tried running faster?,Yeah.,,4_9hours.mp4,8,14
Fog bad.,Walk bad.,,4_9hours.mp4,1,1
"I told you I'm streaming for a long time.
Besides, I have to do all the runs
that were picked by the
wheel. And now it's just...",Where is he?,,4_9hours.mp4,1,8
no niklas,do i have to play the same dude twice in a row,,4_9hours.mp4,4,26
Niklas.,Every fucking time.,,4_9hours.mp4,1,6
halloumi has simon,i need the last church though,,4_9hours.mp4,2,22
Boosh.,"I told you, it's not possible anymore.",,4_9hours.mp4,1,1
"Hello, Greenwick Walker!",What's up?,,4_9hours.mp4,1,1
"Is Simon krank?
Is hier eine Versammlung von Leuten, die ich kenne?","Hä, was ist denn jetzt los?",,4_9hours.mp4,1,3
